,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2714.0,1851.0,651.0,153.0,35.0,30.0,17.0,9.0,13.0,18.0,10.0,12.0,15.0,23.0,9.0,9.0
1,1988.0,2617.0,1799.0,680.0,148.0,45.0,23.0,10.0,14.0,7.0,10.0,9.0,14.0,14.0,25.0,19.0
2,749.0,2056.0,2645.0,1788.0,653.0,159.0,49.0,22.0,16.0,16.0,9.0,14.0,16.0,11.0,17.0,18.0
3,165.0,766.0,2005.0,2617.0,1890.0,610.0,139.0,54.0,17.0,15.0,14.0,21.0,12.0,12.0,21.0,10.0
4,59.0,169.0,780.0,2066.0,2722.0,1842.0,670.0,149.0,40.0,23.0,18.0,17.0,16.0,15.0,11.0,12.0
5,29.0,55.0,166.0,807.0,2035.0,2688.0,1857.0,634.0,160.0,51.0,18.0,18.0,12.0,16.0,17.0,23.0
6,20.0,45.0,54.0,166.0,737.0,2060.0,2687.0,1835.0,589.0,156.0,53.0,35.0,13.0,18.0,12.0,15.0
7,28.0,16.0,22.0,69.0,194.0,747.0,2079.0,2721.0,1815.0,648.0,158.0,48.0,18.0,11.0,14.0,13.0
8,20.0,23.0,18.0,24.0,55.0,181.0,737.0,1989.0,2613.0,1786.0,610.0,148.0,50.0,24.0,19.0,15.0
9,18.0,14.0,12.0,32.0,28.0,56.0,162.0,720.0,2013.0,2615.0,1896.0,687.0,170.0,51.0,12.0,9.0
10,13.0,9.0,11.0,11.0,26.0,36.0,58.0,160.0,755.0,1939.0,2700.0,1877.0,665.0,136.0,51.0,24.0
11,9.0,18.0,13.0,15.0,23.0,28.0,20.0,54.0,190.0,701.0,1978.0,2655.0,1848.0,612.0,154.0,38.0
12,12.0,14.0,24.0,9.0,20.0,14.0,21.0,23.0,61.0,167.0,709.0,2016.0,2560.0,1849.0,659.0,141.0
13,14.0,15.0,10.0,16.0,6.0,14.0,18.0,21.0,34.0,48.0,164.0,738.0,2051.0,2553.0,1751.0,663.0
14,9.0,9.0,13.0,11.0,17.0,13.0,23.0,10.0,15.0,21.0,64.0,177.0,719.0,1949.0,2726.0,1834.0
15,15.0,12.0,15.0,16.0,14.0,14.0,19.0,17.0,14.0,12.0,34.0,72.0,159.0,773.0,2068.0,2699.0
