,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,28125.0,13468.0,2219.0,406.0,120.0,42.0,16.0,8.0,14.0,8.0,9.0,7.0,8.0,5.0,8.0,9.0
1,13785.0,28115.0,13444.0,2247.0,388.0,99.0,36.0,19.0,14.0,9.0,12.0,11.0,9.0,8.0,7.0,2.0
2,2377.0,13800.0,27940.0,13277.0,2216.0,388.0,117.0,40.0,11.0,18.0,10.0,12.0,6.0,5.0,6.0,11.0
3,665.0,2375.0,14142.0,28203.0,13143.0,2299.0,421.0,98.0,29.0,24.0,17.0,9.0,20.0,7.0,4.0,11.0
4,188.0,648.0,2431.0,14070.0,27844.0,13286.0,2251.0,407.0,121.0,45.0,18.0,16.0,9.0,5.0,18.0,11.0
5,73.0,216.0,613.0,2428.0,13785.0,27998.0,13121.0,2226.0,410.0,113.0,32.0,18.0,21.0,11.0,12.0,8.0
6,27.0,70.0,206.0,652.0,2392.0,13864.0,27804.0,13137.0,2285.0,410.0,109.0,39.0,24.0,8.0,8.0,13.0
7,14.0,34.0,57.0,208.0,625.0,2432.0,13987.0,27682.0,13355.0,2226.0,407.0,117.0,35.0,16.0,10.0,9.0
8,15.0,21.0,34.0,58.0,215.0,674.0,2422.0,13677.0,27902.0,13331.0,2291.0,451.0,110.0,51.0,21.0,15.0
9,16.0,21.0,21.0,33.0,60.0,173.0,634.0,2453.0,13948.0,28023.0,13289.0,2227.0,399.0,107.0,34.0,28.0
10,8.0,17.0,10.0,18.0,30.0,52.0,198.0,660.0,2529.0,13976.0,27922.0,13219.0,2216.0,393.0,116.0,42.0
11,12.0,20.0,15.0,8.0,17.0,29.0,68.0,209.0,683.0,2446.0,13891.0,27818.0,13465.0,2289.0,387.0,115.0
12,15.0,13.0,12.0,17.0,14.0,19.0,32.0,62.0,176.0,698.0,2403.0,13846.0,27915.0,13412.0,2247.0,410.0
13,3.0,10.0,5.0,8.0,14.0,12.0,21.0,27.0,64.0,225.0,612.0,2328.0,13914.0,27624.0,13110.0,2285.0
14,4.0,13.0,10.0,7.0,12.0,16.0,8.0,18.0,36.0,56.0,201.0,644.0,2384.0,13879.0,28080.0,13188.0
15,10.0,4.0,9.0,8.0,11.0,16.0,6.0,23.0,20.0,39.0,70.0,198.0,655.0,2422.0,13981.0,27971.0
