replicate,shift_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,682007993115,surrogate_shift,18196,0.0048194689979642515,2.4880727062152737,15.839562798647597,0.042327126484165034,0.8358895446167375,73,0.027091784044422685,3.078006587741192,35.761237321515274
1,-2392095860702,surrogate_shift,4578,0.017036290289811656,-2.33603522381733,25.128337875707594,0.07792870703398307,0.7128630798355569,58,0.04337777595028173,-0.7522291197242466,51.05618300097682
2,2028763593806,surrogate_shift,7574,0.024051522033421025,0.3472956011423421,2.2109524654350015,0.07841819261252284,1.1942475269647173,19,0.024373268679843206,1.789947219806972,5.412700010211623
3,-998441628449,surrogate_shift,15829,0.006778720469245775,-1.7135861146727138,29.09097197744809,0.04457854303467524,0.8065673034401317,89,0.021663095307928426,0.5120597614243567,7.253218954833727
4,-1794925902071,surrogate_shift,9503,0.005798492594969887,1.1142271244915272,7.093390183595807,0.06281362909662411,0.9613995040702397,81,0.025555045318434777,-0.3857116604037493,76.02757869372343
5,-2018267716279,surrogate_shift,7898,0.0027501259867113515,2.333355849813793,14.854604699610215,0.06627580049563837,0.8895338644642266,85,0.02475940968645741,-2.9750567421608674,44.752926148029346
6,2825407973782,surrogate_shift,1357,0.0053176641593817115,2.273225083813867,14.4718003539786,0.14729363482784014,0.7548891786179923,12,0.05424789520625811,0.5880556631712566,1.1231035872826574
7,-2846642828045,surrogate_shift,1202,0.018728726492310423,-2.605351751578297,23.41381560972745,0.1709766969978781,0.9009770041384016,82,0.06372884079398189,1.1003734389048585,14.360649507996348
8,-2001711947767,surrogate_shift,7844,0.0067824161726892885,-2.2697529930195777,25.550303662532393,0.07625153561979225,1.169419056211509,62,0.0325779860471192,0.513880272578636,5.07076830337463
9,-1325518759769,surrogate_shift,13178,0.006964480310411061,-2.419440298508484,24.597364679065755,0.06419969952433145,1.3926785512762139,97,0.019876693601254426,-0.571617367139509,88.17535423486952
