segment_index,t_start_ps,t_stop_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,1370470527503213,1370620527474880,time_split,7829,0.010674192489119046,-2.2936884453708632,25.397925840258498,0.08079166993665268,1.3103124150512069,100,0.290084116774671,-0.09982196407787368,98.41128409878647
1,1370620527474880,1370770527446548,time_split,7731,0.010702707936324808,2.0633762879051316,13.135861427148301,0.07027838417083797,0.9790719348344493,100,0.30503156938836107,-0.11670923849094426,98.14251477896752
2,1370770527446548,1370920527418216,time_split,7979,0.0202247520044119,2.4642257503898075,15.687748362754917,0.07108253211591717,1.0337359928787426,100,0.29354348252702467,-0.08611724617951598,98.62940145850685
3,1370920527418216,1371070527389884,time_split,8007,0.004131800346961534,-1.130232839748984,32.80471426836636,0.06295173729721953,0.8136182122693925,100,0.3012867412743139,-0.09750813736899094,98.44810979460414
4,1371070527389884,1371220527361552,time_split,7844,0.00640373324923831,1.6461456802735852,10.479688882596472,0.06796616861416069,0.9290916460727783,100,0.30785571928473876,-0.10534460506793682,98.32338853753743
5,1371220527361552,1371370527333219,time_split,7623,0.016034782185457702,2.9486449948966387,18.771657054439064,0.06610203628053654,0.8540651267923997,100,0.3064059439074534,-0.10868717499058644,98.27018988495543
6,1371370527333219,1371520527304887,time_split,7746,0.01672449112234075,2.9901925074959457,19.036156734573165,0.06748353504396572,0.9044999238647572,100,0.29346874090790964,-0.1592166396551557,97.4659884776401
7,1371520527304887,1371670527276555,time_split,7562,0.006358388911279615,2.1299033585040985,13.559385912558263,0.07738885091152857,1.1612583836863128,100,0.30970073143947846,-0.05044351386802803,99.19716654209789
8,1371670527276555,1371820527248223,time_split,7589,0.024193355816716278,1.661271907030578,10.575985432944643,0.07673464859731591,1.1457845532163624,100,0.3118963496313122,-0.06741272108994847,98.92709322112594
9,1371820527248223,1371970527219891,time_split,7667,0.00913049225949654,-2.3190109450854077,25.236717800217978,0.07229479889399149,1.0274837548869111,100,0.30615614758720744,-0.07955795681981348,98.7337957909835
10,1371970527219891,1372120527191558,time_split,7646,0.019075515694960216,2.418476878893607,15.396502001175067,0.08324940368760368,1.3587261983809198,100,0.3014033562796617,-0.09556886279131824,98.47897430810906
11,1372120527191558,1372270527163226,time_split,7683,0.019730810954746,-2.5989520154665646,23.454557595194085,0.055397419453799786,0.6045681941816264,100,0.31657011178995026,-0.06173886681148601,99.01739541660599
12,1372270527163226,1372420527134894,time_split,7661,0.014618601876074484,2.6144433695484643,16.644063427898757,0.07862263199883522,1.2142720873957005,100,0.3072449351237042,-0.0803619470494942,98.72099988905839
13,1372420527134894,1372570527106562,time_split,7931,0.014937876471243314,-2.8877309619865077,21.61613372321333,0.07930483076363663,1.278976686743677,100,0.2931959252930126,-0.0807573038446456,98.71470759023505
14,1372570527106562,1372720527078230,time_split,7795,0.014451710493101589,-2.6119816462846073,23.37160838913993,0.06518399489711425,0.849245900560846,100,0.30764056092772907,-0.08668947453837636,98.62029416131784
15,1372720527078230,1372870527049897,time_split,7714,0.0037852592110123678,0.8216248968358544,5.2306265479517915,0.049946112342120194,0.4934218836215206,100,0.2961114813785353,-0.029107581638334937,99.5367384500808
16,1372870527049897,1373020527021565,time_split,7603,0.01031462368350056,-2.0402896136518285,27.01111290593032,0.06869073845943964,0.9198494521393378,100,0.29502761167349295,-0.07507283154254336,98.8051787768099
17,1373020527021565,1373170526993233,time_split,7646,0.018353114069348492,-3.0785891263297964,20.40109291182614,0.06988059479999151,0.9573767413160559,100,0.2944448525310596,-0.08140484397095253,98.70440166903984
18,1373170526993233,1373320526964901,time_split,7539,0.007067793052035276,-1.3297952310524594,31.53426062711888,0.074251860999041,1.0657708122889182,100,0.3079392802438176,-0.06758010304964895,98.92442925449886
19,1373320526964901,1373470526936569,time_split,7539,0.0026246216468845444,0.9964631665423392,6.343681542568633,0.06855492290646131,0.9085031341298753,100,0.30817357230315595,-0.09641203677678736,98.46555477734165
