layer,period_ps,n_pairs,amplitude,phase_rad,phase_ps,chi2_reduced,cv
greedy_unique,10,26494,0.008222172190889618,-0.652012034890311,8.962290616918017,1.785242780336009,0.02462612794090498
greedy_unique,11,26494,0.001269559864023256,-0.7149115890021824,9.748401154102833,0.9063033139578772,0.018495369753854678
greedy_unique,12,26494,0.0042100566244519565,-0.4274704090020274,11.183591656581756,0.6850676310931463,0.016865114753396304
greedy_unique,13,26494,0.00397275697831802,-1.2745361840336404,10.362966460100338,1.625776905462872,0.027136093815947872
greedy_unique,14,26494,0.0038568232034084395,-0.3304098398178805,13.263790970454963,1.058201857024232,0.022786738574653322
greedy_unique,15,26494,0.0041039721571604435,-0.8084006083868651,13.070085707651025,0.8460513970818191,0.021144071821657753
greedy_unique,16,26494,0.005197596732386464,-1.7494768610318112,11.544993755870312,1.5095241689942378,0.029234246124754684
greedy_unique,17,26494,0.001964533020470131,-1.8789091363322064,11.916359496647495,0.6139125839812787,0.019254821334544123
greedy_unique,18,26494,0.00321059205750936,-1.315330078159379,14.231856892742744,0.8163890603421862,0.022887548782057118
greedy_unique,19,26494,0.0009241657443359308,-2.7451347147135814,10.698866573303299,0.8456170369811193,0.023968968723677115
greedy_unique,20,26494,0.0008124774422170303,1.7714379844847628,5.638662232229884,1.4494721744347279,0.032240960816940306
greedy_unique,21,26494,0.0032193372289587964,2.856052028708903,9.545650760029812,0.593323016532045,0.02116346770889455
greedy_unique,22,26494,0.0036505427801017238,2.695091704649054,9.436617671378906,0.9176992454715714,0.026970318096676948
greedy_unique,23,26494,0.003059910288192549,-3.0678359335204823,11.769991171461347,1.0905899792062697,0.03009319684010229
greedy_unique,24,26494,0.002247949842757625,-2.5248416392371698,14.355815342187853,1.020076735996009,0.029758194196480438
greedy_unique,25,26494,0.0016841185893922152,2.7034411576967625,10.756650590137898,0.6705354671497948,0.02464578933855222
greedy_unique,26,26494,0.0010654034477438606,2.8650135670963817,11.855507851947051,1.1152894995093228,0.03244068716953442
greedy_unique,27,26494,0.0015417266179879846,1.6417832198090285,7.055043702784236,0.6764927908205632,0.025765851201654352
greedy_unique,28,26494,0.0006471585945120753,2.0496224010966526,9.133811024979526,0.9851622589601001,0.03168560464596072
greedy_unique,29,26494,0.0005248053571888341,-2.839439991484384,15.894583602531082,0.9692976307304081,0.03200617866841194
greedy_unique,30,26494,0.0012497905447023338,2.186743063679927,10.44092903569727,1.0518764170417243,0.03393185419341494
greedy_unique,31,26494,0.0017212795842012493,3.1337565870274178,15.461338389438225,0.7466294255303089,0.02907631815962663
greedy_unique,32,26494,0.00331893374711982,-2.956800073781184,16.9411408807438,1.1216319215306205,0.03622699084292921
greedy_unique,33,26494,0.004700345963717695,-3.077795037209943,16.835072298143007,1.1216407488487958,0.036806804338243966
greedy_unique,34,26494,0.004210099405134912,-2.776674187462458,18.974671642129046,0.8363334408476705,0.03227549674821395
greedy_unique,35,26494,0.004549945226128414,-2.5507285274951146,20.791363122727436,0.6400494673599793,0.02865975429415573
greedy_unique,36,26494,0.005809212570863582,-2.971559602875789,18.974217618364634,0.9871043578600007,0.036111189209877624
greedy_unique,37,26494,0.004621026592313091,-2.8858782651080204,20.00583373102403,0.7379134059703244,0.031665050472304494
greedy_unique,38,26494,0.00528038525127417,-2.780328798554568,21.18488327499302,0.9427652155817025,0.03628514569368212
greedy_unique,39,26494,0.006916980963074465,-2.469719920001347,23.670342800491344,1.5272196684055577,0.04680247140200361
greedy_unique,40,26494,0.006046220659786703,-2.650676842209285,23.12526712092706,1.140891116130793,0.04098081930284308
greedy_unique,41,26494,0.005601699031030277,-2.373784346964369,25.51021998120461,0.6919132633803879,0.03232079670382987
greedy_unique,42,26494,0.004163388826181369,-2.399494986498754,25.96055750292911,0.9272822010321711,0.03788123454878151
greedy_unique,43,26494,0.004124297287422214,-1.8306243287872301,30.47182483255686,0.7934644681455281,0.03546619691132554
greedy_unique,44,26494,0.004035873697150026,-1.1647098738047548,35.84374931790557,0.7681633928524404,0.0353091501899831
greedy_unique,45,26494,0.0048931554547925115,-0.8903693950150092,38.62319893225295,0.8115851273358633,0.036712977839691824
greedy_unique,46,26494,0.00724537387810045,-0.6549184088858097,41.20525890358144,1.198235239844661,0.04511318971767538
greedy_unique,47,26494,0.01022428133250857,-0.5239305276701367,43.080851734173976,1.1114345823992964,0.043928573718906634
greedy_unique,48,26494,0.013969701956268527,-0.3630522759284658,45.22648491289066,1.2059157512981664,0.046252333334735045
greedy_unique,49,26494,0.017769878627949705,-0.3560989906736397,46.22292918480853,1.4698862635565286,0.05160463591921611
greedy_unique,50,26494,0.02160741246408503,-0.2829006380626291,47.748748252424065,1.321796386705962,0.04944319810427208
greedy_unique,51,26494,0.026513775418605178,-0.16945734575025434,49.62453131481134,1.383307918774062,0.05109408989004326
greedy_unique,52,26494,0.03217982041764537,-0.16116495812327516,50.66618961359709,1.9274952375454597,0.06091271802949333
greedy_unique,53,26494,0.03715427032458013,-0.19073965518988223,51.39107057474299,2.5194673975530013,0.07032055298304347
greedy_unique,54,26494,0.04245698789029644,-0.15768285618353634,52.64481567586726,2.6515252296354745,0.07283029192483736
greedy_unique,55,26494,0.04939803343999853,-0.10570703760641585,54.0746911344936,3.3027981178128383,0.08204726867878216
greedy_unique,56,26494,0.056513008682840496,-0.09981337130965004,55.11039567988654,4.125506289588723,0.09254356073563137
greedy_unique,57,26494,0.06321622948334052,-0.10959246914950768,56.00579555812496,4.588343452425886,0.09848003786669851
greedy_unique,58,26494,0.07057737831278169,-0.09420154356103776,57.130426804331705,5.53283298833632,0.10910318836795942
greedy_unique,59,26494,0.07870431488783725,-0.06557504502722152,58.3842410389862,6.594324544529275,0.12015044662824954
greedy_unique,60,26494,0.08682514101787112,-0.04956086018938818,59.52672864701835,7.715698981413126,0.13108103979547078
greedy_unique,61,26494,0.09478179136569995,-0.04935265975400995,60.520862094970425,8.728561183664228,0.14059607264620305
greedy_unique,62,26494,0.10289970033221071,-0.05323811179126183,61.47466726354759,10.12662811375789,0.15269456610444293
greedy_unique,63,26494,0.11110645594340796,-0.0514370373615299,62.48425309849233,11.440738864794707,0.16362479491701595
greedy_unique,64,26494,0.11907291280809569,-0.04377825753120219,63.55407833049339,12.803049747112555,0.174483042378785
greedy_unique,65,26494,0.12684317864881764,-0.03722115254155453,64.61494452305323,14.228318204121688,0.185392860596122
greedy_unique,66,26494,0.134889375357745,-0.03719535833097563,65.60929154086236,15.82251307988456,0.19702468598839015
greedy_unique,67,26494,0.14353645281886881,-0.041215397534225005,66.56050450531234,17.38917101870978,0.20813141706174576
greedy_unique,68,26494,0.15248243129225367,-0.04204576391760187,67.54495820087783,19.429843310059503,0.22166559171472075
greedy_unique,69,26494,0.16109248415541078,-0.03604305527957077,68.60418630158041,21.08591845434482,0.23263601596525937
greedy_unique,70,26494,0.16914159254022373,-0.026450351011241435,69.70532071230316,22.76606461621608,0.24349764286421732
greedy_unique,71,26494,0.17705139337587178,-0.01945898833456674,70.78011341314803,24.581107312706926,0.2548449167689735
greedy_unique,72,26494,0.18539736001754886,-0.018446434866401393,71.78861942701845,26.640174708703643,0.26719230264287946
greedy_unique,73,26494,0.19430485017708413,-0.021890874930033825,72.74566501037835,28.70470672605118,0.2792987803801011
greedy_unique,74,26494,0.20335528873181238,-0.025883754937647167,73.69515496173616,30.814308951832977,0.29138277859432604
greedy_unique,75,26494,0.2120399306412165,-0.027660738913323435,74.66982425042777,33.090033643517444,0.3040119802334661
greedy_unique,76,26494,0.2202367883687618,-0.026895097300659518,75.67468293629435,35.15793764625953,0.3154776241359595
greedy_unique,77,26494,0.2282341602255452,-0.0247789976126177,76.6963351034719,37.21286547500327,0.3267229085796162
greedy_unique,78,26494,0.23636534634809186,-0.02256462416025705,77.71988082501898,39.4943094197265,0.33879645603895303
greedy_unique,79,26494,0.24467681682715997,-0.020798889180369227,78.73849056411377,41.612432810137946,0.3500137364897485
greedy_unique,80,26494,0.25292477105584227,-0.019443943894852093,79.75243201727463,43.876513717459794,0.36170610249920243
greedy_unique,81,26494,0.2608405155372616,-0.01835105448375661,80.76342645640489,45.91211689439118,0.3723358777652101
greedy_unique,82,26494,0.26838896355227587,-0.01753253699772509,81.77118802589338,48.03216940802809,0.38320824494834
greedy_unique,83,26494,0.2758045545418031,-0.01709619720406719,82.77416162367261,49.96637066468801,0.3932530167388018
greedy_unique,84,26494,0.2834058870502551,-0.017040276008666297,83.77218829069191,52.11281299425829,0.4040522583373108
greedy_unique,85,26494,0.291358265214079,-0.017150485761232043,84.76798531024718,54.47862588834129,0.41560326378664186
greedy_unique,86,26494,0.29956144584886296,-0.017088046433679126,85.76611035303746,56.906956069964785,0.4272857161041617
greedy_unique,87,26494,0.3077229754545351,-0.016580942535829476,86.77041230998411,59.2437190693461,0.4385272813536498
greedy_unique,88,26494,0.3155452800751902,-0.015570001107883086,87.7819322476566,61.61408742296023,0.4498066486888652
greedy_unique,89,26494,0.3228962797680211,-0.014228265812150354,88.798459603629,63.58341682851005,0.4595571222178436
greedy_unique,90,26494,0.32986683080457097,-0.012868420375907892,89.8156734558651,65.64434940961829,0.46959115869477447
greedy_unique,91,26494,0.3367006292559532,-0.011803233666200601,90.82905258859755,67.64465161923454,0.4793626813511654
greedy_unique,92,26494,0.343653904426875,-0.011226600367644545,91.83561725727824,69.74511334517375,0.4894449167215063
greedy_unique,93,26494,0.35086728239130127,-0.011160111553023664,92.83481461652177,71.7776034606687,0.499246035235387
greedy_unique,94,26494,0.3583100510361876,-0.011474909071755178,93.82832888097181,74.13882469636054,0.5101413848475896
greedy_unique,95,26494,0.3658109654033822,-0.011963841748004302,94.81911006750641,76.46617861290153,0.5208646146224433
greedy_unique,96,26494,0.37314751511707106,-0.012422453460317368,95.8101988921403,78.65719428033357,0.5310767173202134
greedy_unique,97,26494,0.38014533602792727,-0.01270576393517408,96.80384804180395,80.86183192420926,0.5412945302030336
greedy_unique,98,26494,0.3867445491978635,-0.012749315077672907,97.80114658146654,82.80326920936777,0.5505995384936422
greedy_unique,99,26494,0.39301177197313225,-0.012560861552001892,98.80208680265609,84.60897346029829,0.5594322319098995
greedy_unique,100,26494,0.3991021180885697,-0.012196232029587776,99.80589093853953,86.42359428816741,0.5682768879412399
