replicate,shift_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,26905386683,surrogate_shift,695,0.03645488419651984,1.4181788628530574,9.028407048460288,0.25921253668561434,1.1973805570927873,23,0.07532880518851405,2.1073718811521265,7.714168991819223
1,-94368541871,surrogate_shift,216,0.02942030607747938,1.147085546067183,7.302573392234328,0.4358741591088822,1.0522317188983856,25,0.17606625551095065,2.3004722315184325,9.15328817729504
2,80035043826,surrogate_shift,292,0.050269055589591674,2.6102211492273177,16.617183938501416,0.3454663072032464,0.8935721812434142,90,0.14920971360055665,0.49732767174430065,7.123694156504008
3,-39388728535,surrogate_shift,647,0.006998442317969831,-2.8867667805014334,21.622271893188817,0.20777190048579022,0.7161653390401458,39,0.0735939215730921,-2.8629586151815754,21.22949339652667
4,-70810121069,surrogate_shift,374,0.04301881863654436,-1.8648683094159528,28.127879613640996,0.29440918948664824,0.831208007678596,26,0.09099951259966786,-2.3459473323644695,16.29240303134468
5,-79620980299,surrogate_shift,316,0.02369837241160134,-0.2610271170834016,38.33824976140599,0.3274054976298117,0.8685491723466408,21,0.09257593841210757,2.4438887270330216,8.168096396751167
6,111462752574,surrogate_shift,57,0.06871370863208145,1.1599646232119445,7.3845641438363545,0.7983901931917722,0.9316239316239316,18,0.35121300950321316,0.10878807712259483,0.31165488402341945
7,-112300469919,surrogate_shift,52,0.12464810135470228,0.967961630550668,6.162235129017192,0.8284868934053082,0.9151873767258383,12,0.2846668358359762,-0.03378410394173083,11.93547711431692
8,-78967853403,surrogate_shift,341,0.09671600075934332,-1.588866690312044,29.884960492911137,0.4130527421908418,1.4917662982179112,70,0.1583472615245727,1.0394960865968692,11.580865835460084
9,-52291957478,surrogate_shift,578,0.017651886061428246,-3.024683185526517,20.744268789460577,0.28657121082101317,1.2171058468636324,19,0.07369484288672498,-1.3690937982811429,14.859937134494858
